ID,alias,city,degrees_highest,operating,state,url,zip5
486822,Pima Medical Institute-Phoenix,Phoenix,3,1,AZ,www.pmi.edu,85014-4929
486901,Milligan College,Johnson City,9,1,TN,www.milligan.edu,37682
485801,Westchester School for Dental Assistant,White Plains,2,1,NY, ,10606
486947,Chamberlain College of Nursing-Michigan,Troy,5,1,MI,www.chamberlain.edu,48084-5286
487144,American Academy of Personal Training-Boston Campus,Boston,1,1,MA,www.aapt.edu,02116-3631
486619,Academy of Professional Cosmetology,Rogers,2,1,AR,www.apcschools.com,72756-2028
486105,Professional Academy of Cosmetology,Norristown,2,1,PA,www.penncosmetology.com,19401-0000
468848,United Education Institute-UEI College San Marcos,San Marcos,2,1,CA,www.uei.edu,92069-3587
445054,Toyota Technological Institute at Chicago,Chicago,9,1,IL,www.ttic.edu,60637
486220,Cole Holland College,Salt Lake City,1,1,UT,www.coleholland.edu,84102-2959
486026,Yeshiva Sholom Shachna,Brooklym,5,1,NY, ,11230
485537,University of Texas Health Science Center at Tyler,Tyler,7,1,TX,uthealth.org,75708-3154
486752,Ross Medical Education Center-Muncie,Muncie,2,1,IN,www.rosseducation.edu,47303-6413
487676,The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,2,1,MD,templeannapolis.com,21401-3833
482291,UEI College-Bakersfield,Bakersfield,2,1,CA,www.uei.edu,93308-0000
486503,Laredo CHI Academy Beauty School,Laredo,2,1,TX,www.laredochiacademy.com,78041-6540
486345,HVAC Technical Institute,Chicago,1,1,IL,www.hvac-tech.com,60632-4457
486187,San Francisco College of Cosmetology,San Francisco,2,1,CA,www.sfcosmetology.com,94110-1217
487010,The University of Tennessee-Health Science Center,Memphis,9,1,TN,www.uthsc.edu,38163
486831,Cambria Rowe Business College-School of Technology,Johnstown,3,1,PA,crbctechnology.com,15904-1945
487153,The Chicago School of Professional Psychology at Xavier University of Louisiana,New Orleans,9,1,LA,www.thechicagoschool.edu/,70125-1056
486983,Paul Mitchell the School-Madison,Madison,2,1,WI,madison.paulmitchell.edu/,53701-0000
486202,Mingo Extended Learning Center,Delbarton,2,1,WV,mingoadultlearningcenter.com,25670-9797
487463,Florida Career College-Kendall,Miami,3,1,FL,www.anthem.edu,33183-4810
487506,Aveda Institute-Madison,Madison,4,1,WI,www.avedainstitutemadison.com,53715-0000
487092,Emory University-Oxford College,Oxford,3,1,GA,www.oxford.emory.edu/,30267
486327,Princess Beauty School,Dearborn Heights,2,1,MI,www.princessbeautyschool.com,48127-2999
142957,American Islamic College,Chicago,7,1,IL,www.aicusa.edu,60613
487427,Florida Career College-Tampa,Tampa,3,1,FL,www.anthem.edu,33619-8347
486424,Saint Michael College of Allied Health,Alexandria,3,1,VA,www.stmichaelcollegeva.edu,22309-2348
485500,ABCO Technology,Los Angeles,1,1,CA,www.abcotechnology.edu,90045-1551
487649,California Institute of Advanced Management,El Monte,7,1,CA,ciam.edu,91731
486239,San Ignacio College,Doral,7,1,FL,www.sanignaciocollege.edu,33178-2350
450711,Trend Barber College,Houston,2,1,TX, ,77090-3700
486530,Gould's Academy,Memphis,2,1,TN,www.gouldsacademy.com,38119-5317
487384,Florida Career College,Pembroke Pines,3,1,FL,www.anthem.edu,33024-6916
485582,MKG Beauty & Business,Cranston,2,1,RI,www.avedainstituteri.com,02920-4358
