ID,alias,city,degrees_highest,operating,state,url,zip5
483364,Delta College-Slidell Campus,Slidell,2,1,LA,deltacollege.com,70460-2624
483568,Ridley-Lowell Business & Technical Institute,West Warwick,2,1,RI,www.ridley.edu,02893
483939,Setting the Standard Barbering and Natural Hair Academy,Shreveport,2,1,LA,www.sts-academy.com,71109-4124
403399,Volunteer Beauty Academy-System Office,Nashville,2,1,TN,www.volunteerbeauty.com,37209-2122
126100,Yosemite Community College District Office,Modesto,3,1,CA,www.yosemite.edu,95358
125222,West Valley Mission Community College District Office,Saratoga,4,1,CA,www.westvalley.edu/,95070-5698
438665,Rancho Santiago Community College District Office,Santa Ana,3,1,CA,www.rsccd.edu,92706-1640
448336,Arkansas State University-System Office,Jonesboro,9,1,AR,www.asusystem.edu,72401
481191,Riverside County Office of Education,Riverside,2,1,CA,www.riversidesce.org,92503-3504
484367,North-West College-Santa Ana,Santa Ana,4,1,CA,www.nw.edu,92705-8680
484905,University of North Texas at Dallas,Dallas,7,1,TX,untdallas.edu,75241
485245,Cosmopolitan Beauty and Tech School,Ellicott City,2,1,MD,www.cosmopolitan.edu,21043-3370
454218,Chamberlain College of Nursing-Administrative Office,Downers Grove,9,1,IL,www.chamberlain.edu,60515-5683
485351,Fred D. Learey Technical Center,Tampa,4,1,FL,www.learey.edu,33614
484376,North-West College-Long Beach,Long Beach,4,1,CA,www.nw.edu,90815-1770
483841,Grace International Beauty School,Flushing,2,1,NY,www.gibs.edu/,11355-2446
222497,Alamo Community College District Central Office,San Antonio,4,1,TX,alamo.edu/district/,78204-1429
484002,High Desert Medical College,Lancaster,2,1,CA,www.hdmedcollege.com,93534-1134
484066,MedQuest College,Louisville,1,1,KY,medquestcollege.edu,40243-1882
483920,LaBarberia Institute of Hair,Cleveland,4,1,OH,www.labarberiainstitute.com,44106
483470,More Tech Institute,Hialeah,2,1,FL,MORETECHINSTITUTE.COM,33012
483647,Ohio Institute of Allied Health,Huber Heights,2,1,OH,www.oiah.org,45424-3646
485193,Fayette Beauty Academy-Ritz Beauty Academy,Morrow,2,1,GA,www.ritzbeautyacademy.com,30260-2357
485041,MJ's Barber Academy,Dallas,2,1,TX,www.mjsbarberacademy.com,75224-4425
483735,Total Transformation Institute of Cosmetology,San Marcos,2,1,TX,www.ttioc.com,78666-8115
484473,University of Florida-Online,Gainesville,5,1,FL,www.ufonline.ufl.edu,32611
485111,Georgia Military College,Milledgeville,3,1,GA,www.gmc.edu/,31061
485290,National American University-Harold D. Buckingham Graduate School,Austin,9,1,TX,www.national.edu/programs/hdb-graduate-school,78731
483373,Integrity College of Health,Pasadena,2,1,CA,www.integritycollegeofhealth.net,91104
190035,CUNY System Office,New York,8,1,NY,www.cuny.edu,10017
484677,University of Phoenix-Georgia,Sandy Springs,7,1,GA,www.phoenix.edu,30350
122126,Rudolf Steiner College,Fair Oaks,7,1,CA,www.steinercollege.edu,95628-6811
485397,Empire Beauty School-Cheltenham,Wyncote,2,1,PA,www.empire.edu,19095
408729,Laurel Technical Institute,MEADVILLE,3,1,PA,www.laurel.edu,16335
484604,Ogle School Hair Skin Nails-Stafford,Stafford,2,1,TX,ogleschool.edu,77477
483674,Beauty and Health Institute,Tampa,1,1,FL,www.bhi.edu,33626-2610
484765,University of Phoenix-Virginia,Glen Allen,7,1,VA,www.phoenix.edu,23060
483708,Access Careers,Hempstead,2,1,NY,www.accesscareers.net,11550-0000
484039,Beauty Anatomy Institute of Cosmetology and Wellness,Pompano Beach,2,1,FL,www.beautyanatomy.com,33062-1000
484950,Northwest College-Medford,Medford,4,1,OR,www.nwcollege.edu,97504-9998
484640,University of Phoenix-Colorado,Lone Tree,8,1,CO,www.phoenix.edu,80124
483276,JB's Hair Design and Barber College,Oklahoma City,2,1,OK,www.jbsbarbercollege.org,73139
100733,University of Alabama System Office,Tuscaloosa,9,1,AL,www.uasystem.ua.edu,35401
475398,Catholic Distance University,Hamilton,7,1,VA,https://www.cdu.edu,20158-9012
483780,IGlobal University,Annandale,7,1,VA,www.iglobal.edu,22003-2400
483425,Alexander Paul Institute of Hair Design,Greenville,2,1,NC,www.alexanderpaul.edu,27858-3344
485078,Trine University-Arizona Regional Campus,Peoria,7,1,AZ,www.trine.edu/peoria/,85381-4621
484075,First Coast Barber Academy,Jacksonville,2,1,FL,FirstCoastBarberAcademy.com,32210-8054
483683,School for Allied Health Professionals,Arlington,1,1,TX,www.sfahp.com,76018-4104
485166,Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,Portland,2,1,OR,www.beaumondeacademy.com,97232-1315
484686,University of Phoenix-Louisiana,Baton Rouge,7,1,LA,www.phoenix.edu,70808
112817,Contra Costa Community College District Office,Martinez,3,1,CA,www.4cd.net/default.aspx,94553
110501,California State University-Chancellors Office,Long Beach,9,1,CA,www.calstate.edu/,90802-4210
483346,Divine Crown Academy of Cosmetology,Harrisburg,2,1,PA,www.divinecrown.com,17104
485342,Aparicio-Levy Technical Center,Tampa,2,1,FL,www.aparicio-levy.edu,33610
242671,Inter American University of Puerto Rico-Central Office,San Juan,9,1,PR,www.inter.edu,00928
484394,Taylor Andrews Academy-Orem,Orem,2,1,UT,www.taylorandrew.com,84058-1872
484598,Buchanan Beauty College-Pleasantview,Pleasant View,2,1,TN,buchananbeautycollge.net,37146-8189
484136,Yahweh Beauty Academy,Killeen,2,1,TX,www.yahwehbeautyacademy.com,76543-4153
484710,University of Phoenix-Nevada,Las Vegas,7,1,NV,www.phoenix.edu,89135
484181,Burnett International College,Boynton Beach,3,1,FL,www.burnett.edu,33426-6591
483665,Paul Mitchell the School-Ardmore,Ardmore,2,1,OK,www.paulmitchell.edu,73401-3912
121178,Peralta Community College System Office,Oakland,4,1,CA,www.peralta.edu,94606
159638,Louisiana State University-System Office,Baton Rouge,9,1,LA,www.lsusystem.edu,70808-4600
484172,Lee Professional Institute,Fort Myers,1,1,FL,www.leeproinstitute.edu,33916-9320
485272,West Coast University-Miami,Doral,5,1,FL,westcoastuniversity.edu/,33178-2431
485412,Coachella Valley Beauty College-Beaumont,Beaumont,2,1,CA,cvbeautycollege.com/,92223-2342
483823,Philadelphia Technician Training,Philadelphia,2,1,PA,www.ptt.edu,19138-1324
484385,Branford Hall Career Institute-Amityville,Amityville,2,1,NY,www.branfordhall.edu,11701-2244
105136,Maricopa Community College System Office,Tempe,4,1,AZ,www.dist.maricopa.edu,85281-6942
114637,Redondo Beach Beauty College,Redondo Beach,2,1,CA,RedondoBeachBeautyCollege.com,90278-3111
483799,East-West Healing Arts Institute,Madison,1,1,WI,acupressureschool.com,53719-1133
484996,Houston Training Schools-Gessner,Houston,2,1,TX,houstontrainingschools.net,77063-0000
144777,DeVry University-Administrative Office,Downers Grove,7,1,IL,www.devry.edu,60515-5683
189990,"Christine Valmy International School for Esthetics, Skin Care & Makeup",New York,1,1,NY,www.christinevalmy.com,10016-7701
484154,Preparing People Barber Styling College,Dallas,2,1,TX,preparingpeoplebsc.com,75215-2415
484321,Jolie Health and Beauty Academy-Turnersville,Turnersville,2,1,NJ,www.jolieacademy.com,08012-1760
483948,Bos-Man's Barber College,Shreveport,2,1,LA,www.bosmansbarbercollege.com,71106-2653
483498,Babel University,Honolulu,7,1,HI,www.babel.edu/,96815
446978,Colorado State University-System Office,Denver,9,1,CO,www.csusystem.edu,80202
484242,Sterling Health Center,Dallas,1,1,TX,www.sterlinghealthcenter.edu,75248
117900,Los Rios Community College District Office,Sacramento,4,1,CA,www.losrios.edu/,95825-3981
484631,University of Phoenix-California,Costa Mesa,8,1,CA,www.phoenix.edu,92626
178439,University of Missouri-System Office,Columbia,9,1,MO,www.umsystem.edu/,65211-3020
228732,Texas A & M University-System Office,College Station,9,1,TX,tamus.edu,77840-7896
483975,Alabama College of Osteopathic Medicine,Dothan,9,1,AL,www.acomedu.org/,36303-2251
484899,Aveda Institute Phoenix,Tempe,2,1,AZ,aveda.edu/phoenix/,85284
483771,Nunation School of Cosmetology,Birmingham,2,1,AL,www.nunationschool.com,35208
125019,Ventura County Community College System Office,Ventura,4,1,CA,www.vcccd.edu,93001
483355,Delta College of Arts & Technology-Lafayette Campus,Lafayette,2,1,LA,www.deltacollege.com,70508
484701,University of Phoenix-Missouri,Saint Louis,7,1,MO,www.phoenix.edu,63043
484817,Merrillville Beauty College-Flawless Barber Academy,Cleveland,4,1,OH,www.flawlessbarberacademy.net,44120-9601
149240,Southern Illinois University-System Office,Carbondale,9,1,IL,southernillinois.edu/,62901-6801
484109,Excel Academies of Cosmetology-Merrillville,Merrillville,2,1,IN,www.excelcosmetology.com,46410-5540
482981,Alamo City Barber College,San Antonio,2,1,TX,www.alamocitybarbercollege.com,78250-3227
483692,Cosmix School of Makeup Artistry,Fort Lauderdale,1,1,FL,cosmixinc.com,33306-1640
484668,University of Phoenix-Florida,Orlando,7,1,FL,www.phoenix.edu,32819
484330,Ross Medical Education Center-Owensboro,Owensboro,2,1,KY,www.rosseducation.edu,42303-7757
485263,California College San Diego,San Diego,5,1,CA,www.cc-sd.edu,92111
484093,Excel Academies of Cosmetology-Troy,Troy,2,1,MI,www.excelcosmetology.com,48085-1300
483610,Sutter Beauty College,Yuba City,2,1,CA,sutterbeautycollege.com,95991
480921,Designer Barber & Stylist School,Ft Smith,2,1,AR,designercollege.net,72903-3753
231156,Vermont State Colleges-Office of the Chancellor,Montpelier,8,1,VT,www.vsc.edu,05602
483896,Parisian Spa Institute,Jacksonville,2,1,FL,parisianbeautyschool.com,32204-4127
485184,Fayette Beauty Academy-Ritz Beauty Academy,Decatur,2,1,GA,www.ritzbeautyacademy.com,30032-4281
484127,Ricci's Academy of Cosmetology,Newtown,2,1,CT,newtown.toniguy.edu,06470-0000
484303,Montessori Education Institute of the Pacific Northwest,Bothell,6,1,WA,www.meipn.org,98011-8005
485306,All Beauty College,Kingman,2,1,AZ,www.allbeautycollege.com,86409-2561
483887,Mind Body Institute,Nashville,1,1,TN,www.mindbodynashville.com,37214-1012
483957,Lawrence & Company College of Cosmetology,Selma,2,1,CA,www.lawrencecosmetology.com,93662-3509
484011,Paul Mitchell the School-Schenectady,Schenectady,2,1,NY,schenectady.paulmitchell.edu/,12305-2303
229090,The University of Texas System Office,Austin,9,1,TX,www.utsystem.edu,78701-2982
483744,Vibe Barber College,Memphis,2,1,TN,vibebarbercollege.com,38107-2538
441885,Associated Training Services,Sun Prairie,1,1,WI,www.EquipmentOperator.com,53590
483911,Creative Touch Cosmetology School,Waterloo,2,1,IL,ctsllc.com,62298-1609
484978,Virginia College-Fort Pierce,Fort Pierce,3,1,FL,www.vc.edu/campus/fort-pierce-florida-college.cfm,34982-6331
373456,Blalock's Professional Beauty College,Shreveport,2,1,LA, ,71108-5745
484613,University of Phoenix-Arizona,Tempe,9,1,AZ,www.phoenix.edu,85282
117681,Los Angeles Community College District Office,Los Angeles,4,1,CA,www.laccd.edu,90017
484738,University of Phoenix-Oklahoma,Oklahoma City,7,1,OK,www.phoenix.edu,73116
484880,Heritage College-Cleveland,Middleburg Heights,2,1,OH,heritage-education.com,44130-3304
483328,Paul Mitchell the School-Lombard,Lombard,2,1,IL,lombard.paulmitchell.edu/,60148
124557,University of California-System Administration Central Office,Oakland,9,1,CA,www.ucop.edu,94607-5200
485467,Carrington College-Administrative Office,Sacramento,4,1,CA,www.carrington.edu,95826
485458,Coastal Pines Technical College,Waycross,4,1,GA,www.coastalpines.edu,31503
485254,MCI Institute of Technology-Boca Raton,Boca Raton,2,1,FL,www.mciiot.com,33432-4947
485087,Regency Beauty Institute-Gaithersburg,Gaithersburg,2,1,MD,www.regency.edu,20877-0000
484622,University of Phoenix-Arkansas,Little Rock,7,1,AR,www.phoenix.edu,72211
483285,Graduate School USA,Washington,3,1,DC,www.graduateschool.edu,20024
483805,National Personal Training Institute,Vienna,1,1,VA,www.nptivirginia.edu,22182-2412
