ID,alias,city,degrees_highest,operating,state,url,zip5
490267,Master's Barber & Styling College,Old Hickory,2,1,TN,mastersbarbercollege.edu,37138-4676
488174,Ea La Mar's Cosmetology & Barber College,Kansas City,2,1,MO,https://www.ealamarscollege.com,64127-1912
488077,Sonoran Desert Institute,Scottsdale,3,1,AZ,sdi.edu,85258-3376
490771,Kaplan University-St. Louis,St. Louis,9,1,MO,https://www.kaplanuniversity.edu,63146-4021
488916,Alabama School of Nail Technology & Cosmetology,Jackson,2,1,AL,www.alabamaschoolofnailtechnology.com,36545-2718
117548,Lincoln Law School of Sacramento,Sacramento,9,1,CA,www.lincolnlaw.edu,95816
491303,University of Wisconsin Colleges Flex,Madison,3,1,WI,https://flex.wisconsin.edu,53708
490805,Purdue University Northwest,Hammond,9,1,IN,www.pnw.edu,46323
490559,Gwinnett Institute,Orlando,3,1,FL,www.gwinnettcollege.edu/,32826-9998
488998,Paul Mitchell the School-Nampa,Nampa,4,1,ID,paulmitchell.edu/nampa/,83687-0000
489858,West Coast University-Center for Graduate Studies,Los Angeles,9,1,CA,westcoastuniversity.edu/,90004
488262,Hair Academy School of Barbering & Beauty,Newark,2,1,DE,hairacademysbb.edu,19713-2305
484233,Tri-Community Adult Education,Covina,4,1,CA,www.tri-communityadulted.org,91722-3925
490063,Southern States University,San Diego,7,1,CA,www.ssu.edu/,92108-3002
488183,Regina Webb Academy,Bowling Green,4,1,KY,reginawebbacademy.com,42104-4457
491181,Galen College of Nursing-ARH,Hazard,3,1,KY,www.galencollege.edu/nursing-programs/hazard/,41701-9519
487782,BCI,Brookline,2,1,MA,bostoncareer.org,02445-0000
490382,Harmony Health Care Institute,Merrimack,2,1,NH,www.harmony-health.org,03054-0000
213871,McCann School of Business & Technology,Hazle Township,3,1,PA,www.mccann.edu,18202
490416,J's Barber College,New Iberia,2,1,LA,jsbarbercollege.com,70560-6138
490373,Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,9,1,MI,med.wmich.edu,49007
488819,The Colburn Conservatory of Music,Los Angeles,7,1,CA,www.colburnschool.edu,90012
488101,Yeshivas Maharit D'Satmar,Monroe,5,1,NY,yeshivasmaharit.com,10950
490948,Bull City Durham Beauty and Barber College,Durham,2,1,NC,www.bullcitybarbercollege.com,27707-9226
490498,Digital Media Institute at InterTech,Shreveport,2,1,LA,www.dmi-intertech.org,71103-3600
488943,Le Cordon Bleu College of Culinary Arts - Orlando,Orlando,3,1,FL,www.chefs.edu/,32819-9002
490391,American Beauty Schools,Miami,2,1,FL,www.americanbeautyschools.com,33144-0000
456579,McCann School of Business & Technology,Allentown,3,1,PA,www.mccann.edu,18109
490188,Elite Institute of Cosmetology,Portsmouth,4,1,OH,www.iloveelite.com/#!/pageHome,45662-4009
488165,Academy of Cosmetology and Esthetics,Nevada,2,1,MO,acosmetology.com,64772-2805
